news_headline,news_article,news_category,full_text,clean_text
"US Army accidentally disclosed data of 4,200 immigrant recruits","The US Army accidentally leaked data of 4,200 immigrant recruits meant for internal coordination to recruits, at least thrice between July 2017 and January 2018, the Washington Post said. It prompted many asylum claims by recruits, fearing punishment if sent back to their country of origin. ""We acknowledged...severity of...disclosure...swift actions were taken,"" a US Army spokesman told the Post.",technology,"US Army accidentally disclosed data of 4,200 immigrant recruits. The US Army accidentally leaked data of 4,200 immigrant recruits meant for internal coordination to recruits, at least thrice between July 2017 and January 2018, the Washington Post said. It prompted many asylum claims by recruits, fearing punishment if sent back to their country of origin. ""We acknowledged...severity of...disclosure...swift actions were taken,"" a US Army spokesman told the Post.",us army accidentally disclose datum immigrant recruit us army accidentally leak datum immigrant recruit mean internal coordination recruit least thrice july january washington post say prompt many asylum claim recruit fear punishment send back country origin acknowledge severity disclosure swift action take us army spokesman tell post
2 Ukrainians used quiz apps to steal Facebook users' private data,"Facebook has sued two Ukrainian men for allegedly using quiz apps to deceive users into installing malicious browser extensions that let them extract users' private data in 2017 and 2018. They operated at least four web apps offering ""popularity"" tests, among others, and infected 63,000 browsers, the lawsuit said. The extensions also let the hackers inject ads to News Feeds. ",technology,"2 Ukrainians used quiz apps to steal Facebook users' private data. Facebook has sued two Ukrainian men for allegedly using quiz apps to deceive users into installing malicious browser extensions that let them extract users' private data in 2017 and 2018. They operated at least four web apps offering ""popularity"" tests, among others, and infected 63,000 browsers, the lawsuit said. The extensions also let the hackers inject ads to News Feeds. ",ukrainian use quiz app steal facebook user private datum facebook sue two ukrainian man allegedly use quiz app deceive user instal malicious browser extension let extract user private datum operate least four web app offer popularity test among infect browser lawsuit say extension also let hacker inject ad news feed
Old Facebook bug revealed whom users chatted with: Report,"Cybersecurity firm Imperva has revealed a now-fixed vulnerability that would let websites expose whom users chatted with on Messenger by exploiting a bug. Imperva said the bug found in November 2018, however, wasn't able to retrieve conversations or pull data from chats, but revealed identities. Facebook has decided to remove the responsible elements from the Messenger user interface, it added.",technology,"Old Facebook bug revealed whom users chatted with: Report. Cybersecurity firm Imperva has revealed a now-fixed vulnerability that would let websites expose whom users chatted with on Messenger by exploiting a bug. Imperva said the bug found in November 2018, however, wasn't able to retrieve conversations or pull data from chats, but revealed identities. Facebook has decided to remove the responsible elements from the Messenger user interface, it added.",old facebook bug reveal user chat report cybersecurity firm imperva reveal fix vulnerability would let website expose user chat messenger exploit bug imperva say bug find november however not able retrieve conversation pull datum chat reveal identity facebook decide remove responsible element messenger user interface add
Microsoft sues Foxconn parent for missing royalty payments,"Microsoft has sued Foxconn's Taiwanese parent company Hon Hai for allegedly failing to make royalty payments on time. It has also accused the consumer-electronics manufacturer of failing to provide twice-yearly royalty reports concerning certain products, violating a patent-licensing agreement. Microsoft filed a suit for royalty repayment with interest, review of Hon Hai's books and attorney fees.",technology,"Microsoft sues Foxconn parent for missing royalty payments. Microsoft has sued Foxconn's Taiwanese parent company Hon Hai for allegedly failing to make royalty payments on time. It has also accused the consumer-electronics manufacturer of failing to provide twice-yearly royalty reports concerning certain products, violating a patent-licensing agreement. Microsoft filed a suit for royalty repayment with interest, review of Hon Hai's books and attorney fees.",microsoft sue foxconn parent miss royalty payment microsoft sue foxconn taiwanese parent company hon hai allegedly fail make royalty payment time also accuse consumer electronic manufacturer fail provide twice yearly royalty report concern certain product violate patent licensing agreement microsoft file suit royalty repayment interest review hon hais book attorney fee
YouTube to add fact checks to searches on sensitive topics,YouTube is adding a new information panel to offer fact checks from verified partners that will appear when users search for sensitive or controversial topics to help curb the spread of misinformation. The feature will first launch in India in Hindi and English. This comes after YouTube was recently accused of recommending conspiracy theory videos spreading fake news.,technology,YouTube to add fact checks to searches on sensitive topics. YouTube is adding a new information panel to offer fact checks from verified partners that will appear when users search for sensitive or controversial topics to help curb the spread of misinformation. The feature will first launch in India in Hindi and English. This comes after YouTube was recently accused of recommending conspiracy theory videos spreading fake news.,youtube add fact check search sensitive topic youtube add new information panel offer fact check verify partner appear user search sensitive controversial topic help curb spread misinformation feature first launch india hindi english come youtube recently accuse recommend conspiracy theory video spread fake news
"Facebook creating 2,200-sq-foot wall art that uses AR in US","Facebook has teamed up with several non-profit organisations to commission local artists to create a 2,200-square-foot mural that features AR effects in America's Texas. Visitors will be able to experience the effects by scanning a QR code embedded in the mural with Facebook app's camera. The mural is currently under development. ",technology,"Facebook creating 2,200-sq-foot wall art that uses AR in US. Facebook has teamed up with several non-profit organisations to commission local artists to create a 2,200-square-foot mural that features AR effects in America's Texas. Visitors will be able to experience the effects by scanning a QR code embedded in the mural with Facebook app's camera. The mural is currently under development. ",facebook create sq foot wall art use ar us facebook team several non profit organisation commission local artist create square foot mural feature ar effect americas texas visitor able experience effect scan qr code embed mural facebook app camera mural currently development
Indian women's Super Like-rate highest in world: Tinder CEO,"Tinder CEO Elie Seidman, in an interview with Hindustan Times, said Indian women on Tinder 'Super Like' at a rate that is much higher than women anywhere else in the world. He noted India is Tinder's biggest market in Asia, adding that it has the biggest potential in the future. Seidman visited the country for the first time in February.",technology,"Indian women's Super Like-rate highest in world: Tinder CEO. Tinder CEO Elie Seidman, in an interview with Hindustan Times, said Indian women on Tinder 'Super Like' at a rate that is much higher than women anywhere else in the world. He noted India is Tinder's biggest market in Asia, adding that it has the biggest potential in the future. Seidman visited the country for the first time in February.",indian women super like rate high world tinder ceo tinder ceo elie seidman interview hindustan time say indian woman tinder super like rate much high woman anywhere else world note india tinder big market asia add big potential future seidman visit country first time february
Instagram tests feature to let users watch videos together: Report,"Facebook-owned photo and video-sharing platform Instagram is reportedly testing a feature to let users watch videos together. The feature, reported by technology tipster and reverse-engineering specialist Jane Manchun Wong, is allegedly hidden in Instagram's Direct Message chat. Similar to Facebook's 'Watch Party' co-watching feature, reports said the feature might be added to Instagram's IGTV.",technology,"Instagram tests feature to let users watch videos together: Report. Facebook-owned photo and video-sharing platform Instagram is reportedly testing a feature to let users watch videos together. The feature, reported by technology tipster and reverse-engineering specialist Jane Manchun Wong, is allegedly hidden in Instagram's Direct Message chat. Similar to Facebook's 'Watch Party' co-watching feature, reports said the feature might be added to Instagram's IGTV.",instagram test feature let user watch video together report facebook photo video share platform instagram reportedly test feature let user watch video together feature report technology tipster reverse engineering specialist jane manchun wong allegedly hide instagrams direct message chat similar facebook watch party co watch feature report say feature may add instagram igtv
Twitter now lets users add more details when reporting tweets,"Twitter has updated its 'Report' feature to choose more specific and detailed reasons behind reporting a tweet to the micro-blogging platform. ""We want to move faster in reviewing reported Tweets that share personal information,"" Twitter tweeted. Global Public Policy VP Colin Crowell had recently said that most Indian users aren't aware of how to report abuse or harassment on Twitter.",technology,"Twitter now lets users add more details when reporting tweets. Twitter has updated its 'Report' feature to choose more specific and detailed reasons behind reporting a tweet to the micro-blogging platform. ""We want to move faster in reviewing reported Tweets that share personal information,"" Twitter tweeted. Global Public Policy VP Colin Crowell had recently said that most Indian users aren't aware of how to report abuse or harassment on Twitter.",twitter let user add detail report tweet twitter update report feature choose specific detailed reason behind report tweet micro blogg platform want move faster review report tweet share personal information twitter tweet global public policy vp colin crowell recently say indian user not aware report abuse harassment twitter
TikTok adds feature in India to filter user-defined words,"Lip-syncing video app TikTok has added a new safety feature for Indian users to filter out up to 30 self-defined Hindi and English words from comments section. Users can change the listed words whenever and to whatever, TikTok said. This comes after demands of ban on TikTok by RSS, Tamil Nadu among others over allegedly causing cultural degeneration of youngsters.",technology,"TikTok adds feature in India to filter user-defined words. Lip-syncing video app TikTok has added a new safety feature for Indian users to filter out up to 30 self-defined Hindi and English words from comments section. Users can change the listed words whenever and to whatever, TikTok said. This comes after demands of ban on TikTok by RSS, Tamil Nadu among others over allegedly causing cultural degeneration of youngsters.",tiktok add feature india filter user define word lip sync video app tiktok add new safety feature indian user filter self define hindi english word comment section user change list word whenever whatev tiktok say come demand ban tiktok rss tamil nadu among allegedly cause cultural degeneration youngster
"After Rajkot, PUBG banned in Gujarat's Bhavnagar, Gir Somnath","The district authorities of Bhavnagar and Gir Somnath in Gujarat have issued a notification imposing a ban on online multiplayer game PUBG, after it was recently banned in Rajkot. The notification states that games like PUBG incite violence in players. It reportedly stated that people caught playing the game during the ban can be prosecuted under Section 188 of IPC. ",technology,"After Rajkot, PUBG banned in Gujarat's Bhavnagar, Gir Somnath. The district authorities of Bhavnagar and Gir Somnath in Gujarat have issued a notification imposing a ban on online multiplayer game PUBG, after it was recently banned in Rajkot. The notification states that games like PUBG incite violence in players. It reportedly stated that people caught playing the game during the ban can be prosecuted under Section 188 of IPC. ",rajkot pubg ban gujarat bhavnagar gir somnath district authority bhavnagar gir somnath gujarat issue notification impose ban online multiplayer game pubg recently ban rajkot notification state game like pubg incite violence player reportedly state people catch play game ban prosecute section ipc
Google advises urgent Chrome update to counter security bug,"Google has urged users to update Chrome browser to the latest version to counter a previously disclosed security bug, now found to be more deeply linked with another Windows security bug. Google said it found that the Windows vulnerability was being ""actively exploited in targeted attacks"". It added users need to restart Chrome manually to activate the update after installing.",technology,"Google advises urgent Chrome update to counter security bug. Google has urged users to update Chrome browser to the latest version to counter a previously disclosed security bug, now found to be more deeply linked with another Windows security bug. Google said it found that the Windows vulnerability was being ""actively exploited in targeted attacks"". It added users need to restart Chrome manually to activate the update after installing.",google advise urgent chrome update counter security bug google urge user update chrome browser late version counter previously disclose security bug find deeply link another window security bug google say find window vulnerability actively exploit target attack add user need restart chrome manually activate update instal
Hackers use stolen prototypes to break into iPhones: Report,"Hackers and security researchers use stolen iPhone prototypes to break into them and find critical vulnerabilities, a Motherboard report claimed. The prototype iPhones are allegedly made only for Apple engineers and contain a lowered level of security. Apple is reportedly aware of the issue and is working to prevent the prototype units from being smuggled out of its factories.",technology,"Hackers use stolen prototypes to break into iPhones: Report. Hackers and security researchers use stolen iPhone prototypes to break into them and find critical vulnerabilities, a Motherboard report claimed. The prototype iPhones are allegedly made only for Apple engineers and contain a lowered level of security. Apple is reportedly aware of the issue and is working to prevent the prototype units from being smuggled out of its factories.",hacker use steal prototype break iphone report hacker security researcher use steal iphone prototype break find critical vulnerability motherboard report claim prototype iphone allegedly make apple engineer contain lower level security apple reportedly aware issue work prevent prototype unit smuggle factory
Foreign hackers likely stole software giant Citrix data: FBI,"The FBI has told American software giant Citrix it believed ""international cyber criminals"" had gained access to its data. Citrix said hackers might have accessed and downloaded business documents. Security firm Resecurity claimed hackers stole at least 6TB of documents focused on project data of the FBI and NASA, among others in attacks in December 2018 and March 2019.",technology,"Foreign hackers likely stole software giant Citrix data: FBI. The FBI has told American software giant Citrix it believed ""international cyber criminals"" had gained access to its data. Citrix said hackers might have accessed and downloaded business documents. Security firm Resecurity claimed hackers stole at least 6TB of documents focused on project data of the FBI and NASA, among others in attacks in December 2018 and March 2019.",foreign hacker likely steal software giant citrix datum fbi fbi tell american software giant citrix believe international cyber criminal gain access datum citrix say hacker may access download business document security firm resecurity claim hacker steal least tb document focus project datum fbi nasa among attack december march
IIT-Kharagpur team creates app to detect fake currency notes,"A team of IIT-Kharagpur students has developed the code for a smartphone app that can detect counterfeit currency. The team leader explained that the app verifies a note's authenticity, uploaded by a user, using 25 features extracted from the front and rear side of it. In the case of fake note detection, the user is also notified of failure checkpoints.",technology,"IIT-Kharagpur team creates app to detect fake currency notes. A team of IIT-Kharagpur students has developed the code for a smartphone app that can detect counterfeit currency. The team leader explained that the app verifies a note's authenticity, uploaded by a user, using 25 features extracted from the front and rear side of it. In the case of fake note detection, the user is also notified of failure checkpoints.",iit kharagpur team create app detect fake currency note team iit kharagpur student develop code smartphone app detect counterfeit currency team leader explain app verify note authenticity upload user use feature extract front rear side case fake note detection user also notify failure checkpoint
We allowed India to wear Army-style caps: ICC after PCB's objection,"Indian players were granted permission to wear Army-style caps during the Ranchi ODI against Australia, the ICC said. ""The BCCI sought permission...to wear...caps as part of a fundraising drive and in memory of soldiers who have died, which was granted,"" ICC added. This comes after Pakistan Cricket Board wrote to ICC demanding ""strong action"" against Team India for ""politicising"" cricket.",sports,"We allowed India to wear Army-style caps: ICC after PCB's objection. Indian players were granted permission to wear Army-style caps during the Ranchi ODI against Australia, the ICC said. ""The BCCI sought permission...to wear...caps as part of a fundraising drive and in memory of soldiers who have died, which was granted,"" ICC added. This comes after Pakistan Cricket Board wrote to ICC demanding ""strong action"" against Team India for ""politicising"" cricket.",allow india wear army style cap icc pcb objection indian player grant permission wear army style cap ranchi odi australia icc say bcci seek permission wear cap part fundraising drive memory soldier die grant icc add come pakistan cricket board write icc demand strong action team india politicise cricket
"I don't read newspapers, I live in my own world: Shikhar Dhawan","India opener Shikhar Dhawan, who smashed his career-best ODI score of 143 against Australia on Sunday, said he performs his best when he is calm. ""There's no point in cribbing or being sad,"" he added. Further, talking about criticism, he said, ""I don't read newspapers and I don't take information which I don't want to...I live in my own world.""",sports,"I don't read newspapers, I live in my own world: Shikhar Dhawan. India opener Shikhar Dhawan, who smashed his career-best ODI score of 143 against Australia on Sunday, said he performs his best when he is calm. ""There's no point in cribbing or being sad,"" he added. Further, talking about criticism, he said, ""I don't read newspapers and I don't take information which I don't want to...I live in my own world.""",not read newspaper live world shikhar dhawan india opener shikhar dhawan smash career good odi score australia sunday say perform good calm no point cribbing sad add talk criticism say not read newspaper not take information not want live world
"DDCA not to felicitate Kohli, Sehwag, Gambhir in wake of J&K attack","The Delhi and District Cricket Association (DDCA) has cancelled ceremony to felicitate Virat Kohli, Virender Sehwag and Gautam Gambhir in the wake of Pulwama terror attack wherein 40 CRPF jawans were martyred. The DDCA had decided to felicitate the trio before the start of the final ODI between India and Australia at Delhi's Feroz Shah Kotla stadium on Wednesday.",sports,"DDCA not to felicitate Kohli, Sehwag, Gambhir in wake of J&K attack. The Delhi and District Cricket Association (DDCA) has cancelled ceremony to felicitate Virat Kohli, Virender Sehwag and Gautam Gambhir in the wake of Pulwama terror attack wherein 40 CRPF jawans were martyred. The DDCA had decided to felicitate the trio before the start of the final ODI between India and Australia at Delhi's Feroz Shah Kotla stadium on Wednesday.",ddca not felicitate kohli sehwag gambhir wake jk attack delhi district cricket association ddca cancel ceremony felicitate virat kohli virender sehwag gautam gambhir wake pulwama terror attack wherein crpf jawan martyr ddca decide felicitate trio start final odi india australia delhis feroz shah kotla stadium wednesday
India fail to defend total of 350+ runs for 1st time in ODI history,"India lost the fourth ODI against Australia on Sunday despite setting up a 359-run target for the visitors. This was the first time India lost an ODI despite scoring 350 or more runs batting first. Prior to this, India had won each of the 23 ODIs in which they put up a total of 350 or more runs (batting first).",sports,"India fail to defend total of 350+ runs for 1st time in ODI history. India lost the fourth ODI against Australia on Sunday despite setting up a 359-run target for the visitors. This was the first time India lost an ODI despite scoring 350 or more runs batting first. Prior to this, India had won each of the 23 ODIs in which they put up a total of 350 or more runs (batting first).",india fail defend total run st time odi history india lose fourth odi australia sunday despite set run target visitor first time india lose odi despite score run batting first prior india win odi put total run bat first
"Kohli visibly rough without Dhoni, not a good sign: Bishan Bedi","Talking about MS Dhoni being rested for the last two Australia ODIs, ex-India captain Bishan Singh Bedi said Virat Kohli needs him by his side. ""[Kohli] is visibly rough without him. It's not a good sign....[Dhoni] is a very calming influence on the ground,"" he added. ""Dhoni is no spring chicken either but the team needs him,"" he further said.",sports,"Kohli visibly rough without Dhoni, not a good sign: Bishan Bedi. Talking about MS Dhoni being rested for the last two Australia ODIs, ex-India captain Bishan Singh Bedi said Virat Kohli needs him by his side. ""[Kohli] is visibly rough without him. It's not a good sign....[Dhoni] is a very calming influence on the ground,"" he added. ""Dhoni is no spring chicken either but the team needs him,"" he further said.",kohli visibly rough without dhoni not good sign bishan bedi talk ms dhoni rest last two australia odi ex india captain bishan singh bedi say virat kohli need side [ kohli ] visibly rough without not good sign [ dhoni ] calming influence ground add dhoni no spring chicken either team need say
PCB urges ICC to take strong action against India over 'Army caps',"The Pakistan Cricket Board has written to the ICC urging it to take ""strong action"" against Team India over their cricketers wearing Army-style caps in the Ranchi ODI against Australia. Indian players had worn the special caps as a tribute to the armed forces. PCB Chairman Ehsan Mani said that ""cricket and sports should not be used for politics"".",sports,"PCB urges ICC to take strong action against India over 'Army caps'. The Pakistan Cricket Board has written to the ICC urging it to take ""strong action"" against Team India over their cricketers wearing Army-style caps in the Ranchi ODI against Australia. Indian players had worn the special caps as a tribute to the armed forces. PCB Chairman Ehsan Mani said that ""cricket and sports should not be used for politics"".",pcb urge icc take strong action india army cap pakistan cricket board write icc urge take strong action team india cricketer wear army style cap ranchi odi australia indian player wear special cap tribute armed force pcb chairman ehsan mani say cricket sport not use politic
MS Dhoni ko bulao: Mohali crowd tells Kohli amid Pant's errors,"During the fourth India-Australia ODI at Mohali, the crowd urged India captain Virat Kohli to call back MS Dhoni citing Rishabh Pant's errors behind the wickets. ""MS Dhoni ko bulao,"" a member from the crowd was heard shouting while Kohli was fielding in the deep. Opener Shikhar Dhawan defended Pant after the match, saying Pant ""should be given more time"".",sports,"MS Dhoni ko bulao: Mohali crowd tells Kohli amid Pant's errors. During the fourth India-Australia ODI at Mohali, the crowd urged India captain Virat Kohli to call back MS Dhoni citing Rishabh Pant's errors behind the wickets. ""MS Dhoni ko bulao,"" a member from the crowd was heard shouting while Kohli was fielding in the deep. Opener Shikhar Dhawan defended Pant after the match, saying Pant ""should be given more time"".",dhoni ko bulao mohali crowd tell kohli amid pant error fourth india australia odi mohali crowd urge india captain virat kohli call back ms dhoni cite rishabh pant error behind wicket ms dhoni ko bulao member crowd hear shout kohli field deep opener shikhar dhawan defend pant match say pant give time
3-time cycling world champion US' Kelly Catlin commits suicide at 23,"Rio Olympic silver medallist and three-time cycling world champion Kelly Catlin committed suicide aged 23. Adding that a series of crashes affected the cyclist's health, Kelly's sister Christine said, ""She couldn't train as well as she used to...She had really bad headaches and was sensitive to light."" She further added that Kelly had first attempted suicide in January this year.",sports,"3-time cycling world champion US' Kelly Catlin commits suicide at 23. Rio Olympic silver medallist and three-time cycling world champion Kelly Catlin committed suicide aged 23. Adding that a series of crashes affected the cyclist's health, Kelly's sister Christine said, ""She couldn't train as well as she used to...She had really bad headaches and was sensitive to light."" She further added that Kelly had first attempted suicide in January this year.",time cycling world champion us kelly catlin commit suicide rio olympic silver medallist three time cycling world champion kelly catlin committed suicide age add series crash affect cyclist health kellys sister christine say could not train well use really bad headache sensitive light add kelly first attempt suicide january year
"Dhawan forgets Australian player's name, calls him 'that guy'","During the post-match press conference following India's defeat in the fourth ODI against Australia, India opener Shikhar Dhawan forgot Man of the Match Ashton Turner's name and referred to him as ""that guy"". ""That guy played a really good knock and took the game away from us,"" he said. Turner slammed an unbeaten 84 off 43 balls in the match.",sports,"Dhawan forgets Australian player's name, calls him 'that guy'. During the post-match press conference following India's defeat in the fourth ODI against Australia, India opener Shikhar Dhawan forgot Man of the Match Ashton Turner's name and referred to him as ""that guy"". ""That guy played a really good knock and took the game away from us,"" he said. Turner slammed an unbeaten 84 off 43 balls in the match.",dhawan forget australian player name call guy post match press conference follow indias defeat fourth odi australia india opener shikhar dhawan forget man match ashton turner name refer guy guy play really good knock take game away us say turner slam unbeaten ball match
